Experiment Name,Run Number,Timestamp (s),Read Speed (B/s),Write Speed (B/s)
experiment,0,25.92,31202146.18,0.00
experiment,0,26.02,32495396.25,0.00
experiment,0,26.12,29865260.18,0.00
experiment,0,26.22,31179509.59,0.00
experiment,0,26.32,31144403.16,0.00
experiment,0,26.42,29905592.87,0.00
experiment,0,26.52,32452044.91,0.00
experiment,0,26.62,32491631.99,0.00
experiment,0,26.72,31217353.99,0.00
experiment,0,26.82,29910261.81,0.00
experiment,0,26.93,31216541.55,0.00
experiment,0,27.03,29893432.15,0.00
experiment,0,27.13,28591757.44,0.00
experiment,0,27.23,31205762.23,0.00
experiment,0,27.33,31121703.43,0.00
experiment,0,27.43,31188353.86,0.00
experiment,0,27.53,32484182.86,0.00
experiment,0,27.63,29921161.69,0.00
experiment,0,27.73,32509539.22,0.00
experiment,0,27.83,28613741.42,0.00
experiment,0,27.93,28548497.13,0.00
experiment,0,28.04,28597165.74,0.00
experiment,0,28.14,29884318.11,0.00
experiment,0,28.24,31211667.78,0.00
experiment,0,28.34,31196760.56,0.00
experiment,0,28.44,33783550.17,0.00
experiment,0,28.54,32516384.53,0.00
experiment,0,28.64,33757380.12,0.00
experiment,0,28.74,32513076.88,0.00
experiment,0,28.84,28590878.78,0.00
experiment,0,28.94,31172216.84,0.00
experiment,0,29.04,29843479.24,0.00
experiment,0,29.14,31214842.94,0.00
experiment,0,29.25,29898168.00,0.00
experiment,0,29.35,31126696.00,0.00
experiment,0,29.45,31222968.38,0.00
experiment,0,29.55,32514692.16,0.00
experiment,0,29.65,29904249.04,0.00
experiment,0,29.75,28606499.88,0.00
experiment,0,29.85,27279685.66,0.00
experiment,0,29.95,31213587.57,0.00
experiment,0,30.05,32485872.05,0.00
experiment,0,30.15,29898309.39,0.00
experiment,0,30.25,31212258.46,0.00
experiment,0,30.35,32412783.50,0.00
experiment,0,30.46,31177667.66,0.00
experiment,0,30.56,31189680.93,0.00
experiment,0,30.66,31214252.17,0.00
experiment,0,30.76,29873515.63,0.00
experiment,0,30.86,31195801.67,0.00
experiment,0,30.96,31146461.73,0.00
experiment,0,31.06,32435961.49,0.00
experiment,0,31.16,32461089.26,0.00
experiment,0,31.26,32513846.04,0.00
experiment,0,31.36,29905097.76,0.00
experiment,0,31.46,31239897.65,0.00
experiment,0,31.57,29866882.68,0.00
experiment,0,31.67,31051536.75,0.00
experiment,0,31.77,31194474.08,0.00
experiment,0,31.87,31204876.59,0.00
experiment,0,31.97,31224002.83,0.00
experiment,0,32.07,33823521.72,0.00
experiment,0,32.17,32466226.85,0.00
experiment,0,32.27,31208419.45,0.00
experiment,0,32.37,32406440.19,0.00
experiment,0,32.47,31209822.06,0.00
experiment,0,32.57,31185700.05,0.00
experiment,0,32.68,29900501.13,0.00
experiment,0,32.78,31203917.20,0.00
experiment,0,32.88,31189902.12,0.00
experiment,0,32.98,31189017.38,0.00
experiment,0,33.08,29870975.00,0.00
experiment,0,33.18,29917409.54,0.00
experiment,0,33.28,32519615.90,0.00
experiment,0,33.38,32520847.07,0.00
experiment,0,33.48,33800566.50,0.00
experiment,0,33.58,32477197.61,0.00
experiment,0,33.68,32486793.51,0.00
experiment,0,33.78,31207312.22,0.00
experiment,0,33.88,32521077.92,0.00
experiment,0,33.99,32522770.96,0.00
experiment,0,34.09,28608123.83,0.00
experiment,0,34.19,31132865.50,0.00
experiment,0,34.29,31198604.74,0.00
experiment,1,0.00,0.00,0.00
experiment,1,0.10,33928777.64,0.00
experiment,1,0.20,33783949.42,0.00
experiment,1,0.30,33809360.98,0.00
experiment,1,0.40,33841700.04,0.00
experiment,1,0.50,32550037.65,0.00
experiment,1,0.60,32576269.08,0.00
experiment,1,0.71,32547108.53,0.00
experiment,1,0.81,31202367.55,0.00
experiment,1,0.91,31243818.40,0.00
experiment,1,1.01,29950716.22,0.00
experiment,1,1.11,32559213.84,0.00
experiment,1,1.21,33868241.79,0.00
experiment,1,1.31,33818960.19,0.00
experiment,1,1.41,33866075.19,0.00
experiment,1,1.51,32583219.77,0.00
experiment,1,1.61,33868803.55,0.00
experiment,1,1.71,32558982.45,0.00
experiment,1,1.81,32567854.99,0.00
experiment,1,1.91,32560525.15,0.00
experiment,1,2.01,32531392.77,0.00
experiment,1,2.11,31249146.27,0.00
experiment,1,2.21,32573489.63,0.00
experiment,1,2.32,32553429.93,0.00
experiment,1,2.42,35009108.71,0.00
experiment,1,2.52,32521847.46,0.00
experiment,1,2.62,33863026.38,0.00
experiment,1,2.72,33841539.79,0.00
experiment,1,2.82,31260770.29,0.00
experiment,1,2.92,32553738.35,0.00
experiment,1,3.02,32563225.23,0.00
experiment,1,3.12,31660958.28,0.00
experiment,1,3.23,31146535.26,0.00
experiment,1,3.33,29891948.09,0.00
experiment,1,3.43,31128311.58,0.00
experiment,1,3.53,31211298.62,0.00
experiment,1,3.63,31171406.75,0.00
experiment,1,3.73,31170302.14,0.00
experiment,1,3.83,32433435.55,0.00
experiment,1,3.93,31190491.97,0.00
experiment,1,4.03,29898874.97,0.00
experiment,1,4.13,31110916.14,0.00
experiment,1,4.23,32451585.16,0.00
experiment,1,4.34,31210486.49,0.00
experiment,1,4.44,31220751.93,0.00
experiment,1,4.54,31144697.23,0.00
experiment,1,4.64,32474051.39,0.00
experiment,1,4.74,33807281.87,0.00
experiment,1,4.84,29901915.33,0.00
experiment,1,4.94,31101162.65,0.00
experiment,1,5.04,31171480.39,0.00
experiment,1,5.14,29904461.22,0.00
experiment,1,5.24,29907078.28,0.00
experiment,1,5.34,29887638.09,0.00
experiment,1,5.44,32490479.84,0.00
experiment,1,5.55,31200818.05,0.00
experiment,1,5.65,29892089.43,0.00
experiment,1,5.75,29900147.60,0.00
experiment,1,5.85,29900854.67,0.00
experiment,1,5.95,33650093.49,0.00
experiment,1,6.05,33808641.26,0.00
experiment,1,6.15,32520385.37,0.00
experiment,1,6.25,32497701.33,0.00
experiment,1,6.35,32507001.80,0.00
experiment,1,6.45,32472209.98,0.00
experiment,1,6.55,32500928.99,0.00
experiment,1,6.66,32511000.33,0.00
experiment,1,6.76,31220899.69,0.00
experiment,1,6.86,28619767.55,0.00
experiment,1,6.96,31133820.53,0.00
experiment,1,7.06,29843549.68,0.00
experiment,1,7.16,31141462.82,0.00
experiment,1,7.26,31221121.32,0.00
experiment,1,7.36,31185773.76,0.00
experiment,1,7.46,31199711.35,0.00
experiment,1,7.56,32495473.08,0.00
experiment,1,7.66,32501543.85,0.00
experiment,1,7.76,32503081.12,0.00
experiment,1,7.87,30984596.01,0.00
experiment,1,7.97,32521924.42,0.00
experiment,1,8.07,31186068.61,0.00
experiment,1,8.17,31218240.34,0.00
experiment,1,8.27,32496087.74,0.00
experiment,1,8.37,33818480.10,0.00
experiment,1,8.47,32523848.43,0.00
experiment,1,8.57,32504157.29,0.00
experiment,1,8.67,32497470.80,0.00
experiment,1,8.77,32490710.26,0.00
experiment,1,8.87,29907714.93,0.00
experiment,1,8.98,31203991.00,0.00
experiment,1,9.08,28581014.50,0.00
experiment,1,9.18,29923640.05,0.00
experiment,1,9.28,28585337.73,0.00
experiment,1,9.38,28576084.91,0.00
experiment,1,9.48,31195654.15,0.00
experiment,1,9.58,32504234.16,0.00
experiment,1,9.68,32514307.56,0.00
experiment,1,9.78,32464002.92,0.00
experiment,1,9.88,32513461.46,0.00
experiment,1,9.98,32503388.59,0.00
experiment,1,10.08,32519000.35,0.00
experiment,1,10.19,31203695.81,0.00
experiment,1,10.29,32471826.38,0.00
experiment,1,10.39,28613673.72,0.00
experiment,1,10.49,31228363.06,0.00
experiment,1,10.59,29926331.29,0.00
experiment,1,10.69,33777802.05,0.00
experiment,1,10.79,32503157.98,0.00
experiment,1,10.89,31209305.29,0.00
experiment,1,10.99,27284456.53,0.00
experiment,1,11.09,29846226.54,0.00
experiment,1,11.19,31171848.61,0.00
experiment,1,11.29,31204950.39,0.00
experiment,1,11.40,29903188.22,0.00
experiment,1,11.50,29893856.20,0.00
experiment,1,11.60,31196760.56,0.00
experiment,1,11.70,31190418.24,0.00
experiment,1,11.80,29891736.10,0.00
experiment,1,11.90,32519846.74,0.00
experiment,1,12.00,32507847.56,0.00
experiment,1,12.10,31182383.42,0.00
experiment,1,12.20,32477197.61,0.00
experiment,1,12.30,32513922.96,0.00
experiment,1,12.40,31198309.66,0.00
experiment,1,12.50,31209452.94,0.00
experiment,1,12.61,31200965.61,0.00
experiment,1,12.71,29878880.59,0.00
experiment,1,12.81,29844324.51,0.00
experiment,1,12.91,31130074.23,0.00
experiment,1,13.01,31126696.00,0.00
experiment,1,13.11,31204876.59,0.00
experiment,1,13.21,31190491.97,0.00
experiment,1,13.31,32484720.31,0.00
experiment,1,13.41,31203548.22,0.00
experiment,1,13.51,31169639.41,0.00
experiment,1,13.61,31190860.64,0.00
experiment,1,13.72,32488790.16,0.00
experiment,1,13.82,32528005.08,0.00
experiment,1,13.92,32534242.05,0.00
experiment,1,14.02,32458559.40,0.00
experiment,1,14.12,31219496.09,0.00
experiment,1,14.22,32485027.43,0.00
experiment,1,14.32,28620241.62,0.00
experiment,1,14.42,31220751.93,0.00
experiment,1,14.52,31188501.30,0.00
experiment,1,14.62,29866036.14,0.00
experiment,1,14.72,31211077.13,0.00
experiment,1,14.82,29925339.73,0.00
experiment,1,14.92,32520231.47,0.00
experiment,1,15.03,32495934.07,0.00
experiment,1,15.13,32486102.41,0.00
experiment,1,15.23,32494243.83,0.00
experiment,1,15.33,32475969.74,0.00
experiment,1,15.43,29873233.32,0.00
experiment,1,15.53,32523463.61,0.00
experiment,1,15.63,32525310.84,0.00
experiment,1,15.73,31189975.85,0.00
experiment,1,15.83,31203843.40,0.00
